#	J=1				J=2				J=3				J=4				J=5				J=6				J=7				J=8				J=9				J=10				J=11				J=12
9.40	0.06781562		9.40	0.06782972		9.40	0.06785089		9.40	0.06787910		9.40	0.06791437		9.40	0.06795670		9.40	0.06800607		9.40	0.06806251		9.40	0.06812599		9.40	0.06819653		9.40	0.06827413		9.40	0.06835877
9.60	0.06782462		9.60	0.06783815		9.60	0.06785844		9.60	0.06788549		9.60	0.06791931		9.60	0.06795988		9.60	0.06800723		9.60	0.06806133		9.60	0.06812220		9.60	0.06818983		9.60	0.06826422		9.60	0.06834538
9.80	0.06783268		9.80	0.06784566		9.80	0.06786513		9.80	0.06789109		9.80	0.06792354		9.80	0.06796248		9.80	0.06800791		9.80	0.06805983		9.80	0.06811824		9.80	0.06818314		9.80	0.06825453		9.80	0.06833241
10.00	0.06783993		10.00	0.06785239		10.00	0.06787109		10.00	0.06789602		10.00	0.06792719		10.00	0.06796458		10.00	0.06800821		10.00	0.06805808		10.00	0.06811417		10.00	0.06817650		10.00	0.06824506		10.00	0.06831986
10.25	0.06784796		10.25	0.06785982		10.25	0.06787762		10.25	0.06790135		10.25	0.06793101		10.25	0.06796661		10.25	0.06800814		10.25	0.06805560		10.25	0.06810899		10.25	0.06816831		10.25	0.06823357		10.25	0.06830476
10.50	0.06785497		10.50	0.06786627		10.50	0.06788323		10.50	0.06790585		10.50	0.06793411		10.50	0.06796804		10.50	0.06800761		10.50	0.06805284		10.50	0.06810372		10.50	0.06816025		10.50	0.06822244		10.50	0.06829028
10.75	0.06786111		10.75	0.06787189		10.75	0.06788807		10.75	0.06790965		10.75	0.06793662		10.75	0.06796898		10.75	0.06800673		10.75	0.06804988		10.75	0.06809842		10.75	0.06815236		10.75	0.06821169		10.75	0.06827641
11.00	0.06786649		11.00	0.06787679		11.00	0.06789224		11.00	0.06791285		11.00	0.06793860		11.00	0.06796951		11.00	0.06800557		11.00	0.06804678		11.00	0.06809314		11.00	0.06814465		11.00	0.06820131		11.00	0.06826312
11.25	0.06787121		11.25	0.06788106		11.25	0.06789584		11.25	0.06791554		11.25	0.06794016		11.25	0.06796971		11.25	0.06800418		11.25	0.06804358		11.25	0.06808790		11.25	0.06813715		11.25	0.06819132		11.25	0.06825042
11.50	0.06787535		11.50	0.06788477		11.50	0.06789891		11.50	0.06791776		11.50	0.06794133		11.50	0.06796961		11.50	0.06800260		11.50	0.06804030		11.50	0.06808272		11.50	0.06812985		11.50	0.06818169		11.50	0.06823824
11.75	0.06787899		11.75	0.06788802		11.75	0.06790156		11.75	0.06791962		11.75	0.06794219		11.75	0.06796928		11.75	0.06800088		11.75	0.06803700		11.75	0.06807763		11.75	0.06812277		11.75	0.06817243		11.75	0.06822661
12.00	0.06788217		12.00	0.06789083		12.00	0.06790382		12.00	0.06792113		12.00	0.06794277		12.00	0.06796874		12.00	0.06799904		12.00	0.06803367		12.00	0.06807262		12.00	0.06811591		12.00	0.06816352		12.00	0.06821546
12.25	0.06788499		12.25	0.06789329		12.25	0.06790575		12.25	0.06792237		12.25	0.06794314		12.25	0.06796806		12.25	0.06799713		12.25	0.06803036		12.25	0.06806774		12.25	0.06810928		12.25	0.06815497		12.25	0.06820481
12.50	0.06788745		12.50	0.06789543		12.50	0.06790740		12.50	0.06792336		12.50	0.06794330		12.50	0.06796724		12.50	0.06799516		12.50	0.06802707		12.50	0.06806297		12.50	0.06810286		12.50	0.06814674		12.50	0.06819461
12.75	0.06788963		12.75	0.06789730		12.75	0.06790880		12.75	0.06792413		12.75	0.06794331		12.75	0.06796631		12.75	0.06799315		12.75	0.06802382		12.75	0.06805833		12.75	0.06809667		12.75	0.06813885		12.75	0.06818486
13.00	0.06789154		13.00	0.06789892		13.00	0.06790998		13.00	0.06792474		13.00	0.06794318		13.00	0.06796531		13.00	0.06799112		13.00	0.06802063		13.00	0.06805382		13.00	0.06809070		13.00	0.06813127		13.00	0.06817553
13.25	0.06789324		13.25	0.06790034		13.25	0.06791099		13.25	0.06792519		13.25	0.06794294		13.25	0.06796424		13.25	0.06798909		13.25	0.06801749		13.25	0.06804945		13.25	0.06808495		13.25	0.06812400		13.25	0.06816660
13.50	0.06789473		13.50	0.06790157		13.50	0.06791183		13.50	0.06792551		13.50	0.06794261		13.50	0.06796313		13.50	0.06798707		13.50	0.06801443		13.50	0.06804521		13.50	0.06807941		13.50	0.06811703		13.50	0.06815807
13.75	0.06789605		13.75	0.06790264		13.75	0.06791253		13.75	0.06792572		13.75	0.06794220		13.75	0.06796198		13.75	0.06798506		13.75	0.06801143		13.75	0.06804110		13.75	0.06807407		13.75	0.06811034		13.75	0.06814990
14.00	0.06789722		14.00	0.06790358		14.00	0.06791312		14.00	0.06792584		14.00	0.06794174		14.00	0.06796082		14.00	0.06798308		14.00	0.06800852		14.00	0.06803714		14.00	0.06806894		14.00	0.06810392		14.00	0.06814208
14.25	0.06789826		14.25	0.06790440		14.25	0.06791361		14.25	0.06792589		14.25	0.06794124		14.25	0.06795965		14.25	0.06798114		14.25	0.06800570		14.25	0.06803332		14.25	0.06806401		14.25	0.06809778		14.25	0.06813461
14.50	0.06789918		14.50	0.06790511		14.50	0.06791400		14.50	0.06792586		14.50	0.06794069		14.50	0.06795847		14.50	0.06797922		14.50	0.06800294		14.50	0.06802962		14.50	0.06805927		14.50	0.06809188		14.50	0.06812745
14.75	0.06790000		14.75	0.06790573		14.75	0.06791433		14.75	0.06792579		14.75	0.06794011		14.75	0.06795730		14.75	0.06797735		14.75	0.06800027		14.75	0.06802606		14.75	0.06805471		14.75	0.06808622		14.75	0.06812060
15.00	0.06790074		15.00	0.06790628		15.00	0.06791459		15.00	0.06792567		15.00	0.06793952		15.00	0.06795614		15.00	0.06797553		15.00	0.06799769		15.00	0.06802262		15.00	0.06805032		15.00	0.06808080		15.00	0.06811404
15.50	0.06790196		15.50	0.06790715		15.50	0.06791493		15.50	0.06792531		15.50	0.06793828		15.50	0.06795384		15.50	0.06797200		15.50	0.06799276		15.50	0.06801611		15.50	0.06804205		15.50	0.06807059		15.50	0.06810172
16.00	0.06790294		16.00	0.06790781		16.00	0.06791511		16.00	0.06792485		16.00	0.06793702		16.00	0.06795163		16.00	0.06796867		16.00	0.06798815		16.00	0.06801007		16.00	0.06803441		16.00	0.06806119		16.00	0.06809041
16.50	0.06790371		16.50	0.06790829		16.50	0.06791516		16.50	0.06792432		16.50	0.06793577		16.50	0.06794950		16.50	0.06796553		16.50	0.06798384		16.50	0.06800445		16.50	0.06802734		16.50	0.06805253		16.50	0.06808000
17.00	0.06790435		17.00	0.06790866		17.00	0.06791513		17.00	0.06792376		17.00	0.06793454		17.00	0.06794748		17.00	0.06796258		17.00	0.06797983		17.00	0.06799924		17.00	0.06802081		17.00	0.06804453		17.00	0.06807042
